Station Number,DWR Regional Office*,Name,County,Latitude,Longitude,ELEV,Status,Connect,Disconnect
89,SCRO,Salinas South,Monterey,36.609444,-121.529300,160,Inactive,9/5/1992,9/25/2012
90,NRO,Alturas,Modoc,41.438214,-120.480308,4405,Active,4/23/1989,Active
91,NRO,Tulelake FS,Siskiyou,41.958869,-121.472372,4035,Active,4/12/1989,Active
92,SCRO,Kesterson,Merced,37.231861,-120.880819,75,Active,10/13/1989,Active
93,SCRO,Lamont,Kern,35.286000,-118.929000,382,Inactive,2/4/1990,10/3/1994
94,SRO,Goleta Foothills,Santa Barbara,34.471579,-119.869484,626,Inactive,7/7/1990,7/18/2016
95,SCRO,Watsonville,Santa Cruz,36.886000,-121.809000,100,Inactive,9/13/1989,7/24/1995
96,NCRO,Woodside,San Mateo,37.453000,-122.280000,560,Inactive,10/31/1990,1/24/1994
97,SRO,Port Hueneme,Ventura,34.173000,-119.200000,18,Inactive,2/16/1991,7/31/2000
98,SRO,Ramona,San Diego,33.049000,-116.938000,1340,Inactive,4/20/1991,5/28/1998
99,SRO,Santa Monica,Los Angeles,34.044311,-118.476886,358,Active,12/11/1992,Active
100,NCRO,Fremont,Alameda,37.525000,-121.968000,40,Inactive,8/29/1991,6/19/2000
101,SRO,Piru,Ventura,34.402222,-118.789167,640,Inactive,8/27/1991,2/20/2005
102,SRO,El Dorado,Los Angeles,33.797000,-118.094000,17,Inactive,10/24/1990,10/20/1999
103,NCRO,Windsor,Sonoma,38.526822,-122.813886,90,Active,12/14/1990,Active
104,SCRO,De Laveaga,Santa Cruz,36.997831,-121.996863,314,Active,9/28/1990,Active
105,SCRO,Westlands,Fresno,36.634028,-120.381811,191,Active,4/17/1992,Active
106,NCRO,Sanel Valley,Mendocino,38.982737,-123.088704,549,Active,2/1/1991,Active
107,SRO,Santa Barbara,Santa Barbara,34.437352,-119.737329,250,Active,4/7/1993,Active
108,NRO,Gerber Dryland,Tehama,40.043000,-122.162000,245,Inactive,3/11/1991,5/12/1998
109,NCRO,Carneros,Napa,38.219503,-122.354964,14,Active,3/11/1993,Active
110,SRO,Newberry Springs,San Bernardino,34.840000,-116.642000,1929,Inactive,2/21/1992,12/27/1996
111,SCRO,Green Valley Road,Santa Cruz,36.943964,-121.763942,110,Active,5/29/1992,Active
112,SCRO,San Ardo,Monterey,36.079000,-120.958000,374,Inactive,6/18/1993,3/13/1995
113,SCRO,King City-Oasis Rd.,Monterey,36.121275,-121.084455,552,Active,6/12/1993,Active
114,SCRO,Arroyo Seco,Monterey,36.347415,-121.291248,235,Active,6/18/1993,Active
115,SCRO,Gonzales,Monterey,36.515000,-121.510000,146,Inactive,6/12/1993,11/10/1998
116,SCRO,Salinas North,Monterey,36.716806,-121.691889,61,Active,6/18/1993,Active
117,SRO,Victorville,San Bernardino,34.475914,-117.263514,2890,Active,2/1/1994,Active
118,SRO,Cathedral City,Riverside,33.841387,-116.478729,421,Inactive,12/7/1995,10/9/2014
119,NCRO,Putah Creek,Solano,38.495000,-122.004000,180,Inactive,8/21/1993,1/25/1995
120,SRO,Guadalupe,Santa Barbara,34.962000,-120.548000,110,Inactive,12/24/1993,11/28/2000
121,NCRO,Dixon,Solano,38.415564,-121.786911,37,Active,9/20/1994,Active
122,NCRO,Hastings Tract,Solano,38.283047,-121.790616,10,Inactive,3/28/1995,6/10/2009
123,NCRO,Suisun Valley,Solano,38.233972,-122.116994,35,Inactive,8/18/1994,7/11/2010
124,SCRO,Panoche,Fresno,36.890096,-120.731665,183,Active,7/27/1995,Active
125,SCRO,Arvin-Edison,Kern,35.205810,-118.778437,508,Active,3/22/1995,Active
126,SCRO,San Benito,San Benito,36.854875,-121.362693,340,Active,6/9/1994,Active
127,SRO,Salton West,Imperial,33.327703,-115.944842,-225,Inactive,11/21/1994,9/16/2012
128,SRO,Salton East,Imperial,33.220186,-115.580117,-226,Inactive,11/17/1994,8/9/2013
129,SCRO,Pajaro,Monterey,36.902778,-121.741931,65,Active,9/13/1995,Active
130,SRO,Temecula East,Riverside,33.556000,-117.037000,1500,Inactive,7/1/1995,11/5/1996
131,NCRO,Fair Oaks,Sacramento,38.649964,-121.218872,265,Active,4/18/1997,Active
132,SCRO,Morgan Hill,Santa Clara,37.151534,-121.636330,400,Inactive,4/28/1997,5/1/2008
133,SRO,Glendale,Los Angeles,34.196531,-118.230203,1076,Inactive,8/7/1996,1/5/2015
134,SRO,Barstow NE,San Bernardino,34.884267,-116.979861,2068,Inactive,1/8/1997,10/30/2013
135,SRO,Blythe NE,Riverside,33.662869,-114.558108,275,Active,1/16/1997,Active
136,SRO,Oasis,Riverside,33.523694,-116.155750,12,Active,1/7/1997,Active
137,SRO,Temecula East II,Riverside,33.558017,-117.031661,1536,Inactive,2/20/1997,9/20/2011
