,AcresBurned,Started,Latitude,Longitude,precip,max_temp,min_hum,avg_wind,fires_last_year
245,25.0,2015-07-20,36.8727,-121.5681,1.0223333333333333,2413.3283333333334,1457.7166666666667,185.57166666666666,0
246,25.0,2015-07-16,33.21407,-116.73472,0.0,2562.5283333333336,1494.8500000000001,134.0283333333333,2
247,25.0,2015-07-02,38.785612,-120.534225,0.4611666666666667,2574.5900000000006,727.7833333333335,167.9316666666667,0
248,25.0,2015-06-07,37.570029999999996,-119.912861,0.17766666666666667,2509.873333333333,803.0333333333332,144.88666666666666,0
249,25.0,2015-06-05,39.094802,-122.746757,0.0675,2346.0750000000003,1118.8,112.345,0
250,25.0,2015-06-05,33.729828000000005,-116.00223899999999,0.0,2690.4,604.4000000000001,228.60999999999999,2
251,24.0,2015-07-21,41.999340999999994,-121.891226,2.1431666666666667,2572.4216666666666,944.4499999999999,123.26166666666667,2
252,23.0,2015-07-04,39.0263,-123.303,2.2648333333333337,2712.0399999999995,977.4333333333333,121.97999999999999,1
253,22.0,2015-08-24,38.831478000000004,-122.53428000000001,0.009333333333333334,2621.606666666666,1160.883333333333,103.15833333333332,4
254,21.0,2015-10-29,34.4828,-119.63216000000001,0.0,2445.036666666666,1497.3166666666666,125.92999999999998,2
255,21.0,2015-07-12,33.986204,-117.43942,0.0265,2650.143333333333,949.7500000000001,130.96833333333333,5
256,20.0,2015-06-10,41.1513,-123.8292,0.758867924528302,2084.675471698113,923.8867924528303,94.5811320754717,0
257,19.0,2015-06-27,38.519132,-122.181878,0.025,2682.1783333333337,824.9999999999999,98.63666666666668,2
258,18.0,2015-07-07,40.5953,-122.4397,0.035166666666666666,3019.633333333333,463.6333333333333,113.43999999999998,0
259,16.0,2015-07-28,40.1093,-123.774,0.007833333333333335,2777.850000000001,769.5833333333335,112.15500000000002,2
260,0.0,2015-07-30,40.647803,-123.114476,0.036166666666666666,3043.6949999999983,448.84999999999997,121.11666666666667,1
261,0.0,2015-06-19,38.598056,-119.751944,0.8786666666666668,2377.8233333333337,917.6166666666668,169.11666666666667,0
262,132127.0,2016-07-22,36.45994,-121.89938000000001,0.0025,2023.403333333333,2153.183333333334,111.21666666666667,5
263,48019.0,2016-06-23,35.6115,-118.45628,0.21466666666666667,2706.59,789.8499999999998,130.63500000000005,2
264,46344.0,2016-08-13,35.70595,-120.98316000000001,0.10566666666666666,2745.061666666666,686.4166666666665,83.16499999999999,4
265,36274.0,2016-08-16,34.30372,-117.49342,0.0,2493.723333333334,705.4,162.195,1
266,33867.0,2016-08-27,41.851000000000006,-123.118,0.0675,2845.9700000000003,539.7833333333333,102.92666666666666,5
267,32606.0,2016-08-18,34.537057,-120.039973,0.017,2676.54,1086.2833333333333,135.62,1
268,29322.0,2016-08-16,35.7506,-118.5678,0.005000000000000001,3023.7683333333334,568.1166666666667,114.64666666666669,8
269,12518.0,2016-09-17,34.63445,-120.54421,0.0,2088.876666666667,2184.3,180.27333333333328,2
270,8110.0,2016-08-07,34.28771,-117.27338,0.0,2485.9616666666666,760.5166666666665,156.6233333333334,0
271,7609.0,2016-06-19,32.60729,-116.63028,0.31166666666666665,2237.8966666666674,1745.6499999999999,128.23166666666668,1
272,7474.0,2016-06-15,34.775999999999996,-119.64299999999999,0.2868333333333333,2551.5966666666673,738.1333333333332,156.5316666666666,0
273,7050.0,2016-08-09,36.099740000000004,-120.51057,0.0,2975.6650000000004,446.68333333333345,171.41833333333327,8
274,5731.0,2016-08-02,38.52513,-122.06788,0.0,2856.173333333333,597.4666666666667,91.85333333333334,2
275,5646.0,2016-06-28,38.96741,-120.9375,0.3736666666666667,2675.186666666666,726.8166666666667,108.26,1
